Customer_ID,Gender,Age,City
C001,F,18,Zahle
C002,F,37,Zahle
C003,F,51,Batroun
C004,M,23,Tyre
C005,M,33,Beirut
C006,F,44,Tripoli
C007,M,24,Batroun
C008,F,49,Byblos
C009,M,21,Beirut
C010,F,49,Tyre
C011,M,23,Batroun
C012,F,60,Beirut
C013,M,29,Beirut
C014,M,38,Saida
C015,F,52,Zahle
C016,M,50,Zahle
C017,M,34,Byblos
C018,M,19,Tripoli
C019,M,43,Tripoli
C020,M,55,Tyre
C021,F,58,Batroun
C022,F,32,Tyre
C023,M,18,Saida
C024,M,18,Tripoli
C025,F,25,Beirut
C026,M,28,Beirut
C027,F,46,Byblos
C028,M,18,Tripoli
C029,F,24,Tripoli
C030,M,23,Saida
C031,M,18,Jounieh
C032,M,49,Beirut
C033,M,33,Batroun
C034,F,50,Byblos
C035,M,33,Byblos
C036,M,23,Beirut
C037,M,28,Beirut
C038,F,39,Saida
C039,M,49,Batroun
C040,F,26,Beirut
C041,M,42,Tyre
C042,F,26,Tripoli
C043,M,42,Tyre
C044,F,20,Zahle
C045,F,48,Tyre
C046,F,60,Saida
C047,M,24,Jounieh
C048,F,39,Zahle
C049,F,35,Tyre
C050,M,38,Jounieh
C051,F,48,Tripoli
C052,F,28,Jounieh
C053,F,46,Batroun
C054,F,53,Byblos
C055,F,44,Tyre
C056,F,26,Batroun
C057,M,37,Batroun
C058,F,22,Tripoli
C059,F,31,Jounieh
C060,F,22,Zahle
C061,F,34,Zahle
C062,F,50,Tyre
C063,F,32,Byblos
C064,M,26,Jounieh
C065,F,42,Saida
C066,M,22,Zahle
C067,M,60,Beirut
C068,F,21,Beirut
C069,F,56,Zahle
C070,F,27,Byblos
C071,F,29,Byblos
C072,F,59,Jounieh
C073,F,54,Saida
C074,M,29,Saida
C075,M,58,Saida
C076,M,40,Saida
C077,M,30,Zahle
C078,M,23,Beirut
C079,M,38,Byblos
C080,F,40,Saida
C081,M,55,Tripoli
C082,M,37,Tripoli
C083,M,47,Byblos
C084,M,53,Batroun
C085,F,40,Saida
C086,M,33,Tripoli
C087,F,60,Batroun
C088,F,56,Beirut
C089,F,21,Saida
C090,F,20,Beirut
C091,M,47,Tyre
C092,F,32,Batroun
C093,F,27,Byblos
C094,M,40,Tripoli
C095,M,40,Zahle
C096,M,46,Zahle
C097,M,45,Batroun
C098,M,33,Tripoli
C099,M,49,Zahle
C100,F,29,Byblos
C101,M,44,Byblos
C102,M,29,Tripoli
C103,M,21,Byblos
C104,F,36,Jounieh
C105,F,27,Tripoli
C106,F,59,Tripoli
C107,M,18,Tyre
C108,F,21,Saida
C109,M,29,Jounieh
C110,M,55,Batroun
C111,M,40,Zahle
C112,F,46,Tripoli
C113,F,27,Beirut
C114,F,50,Byblos
C115,F,36,Byblos
C116,F,48,Jounieh
C117,F,49,Zahle
C118,F,48,Jounieh
C119,F,42,Tyre
C120,F,50,Zahle
C121,F,53,Batroun
C122,F,41,Beirut
C123,F,27,Saida
C124,M,52,Tyre
C125,F,37,Batroun
C126,M,59,Jounieh
C127,M,30,Tripoli
C128,M,36,Batroun
C129,F,58,Byblos
C130,F,26,Beirut
C131,F,59,Byblos
C132,M,33,Tyre
C133,M,41,Beirut
C134,F,60,Zahle
C135,F,20,Byblos
C136,M,42,Saida
C137,F,30,Saida
C138,F,55,Tyre
C139,M,33,Saida
C140,F,50,Tripoli
C141,F,21,Jounieh
C142,F,44,Batroun
C143,M,36,Saida
C144,F,39,Batroun
C145,F,55,Saida
C146,M,27,Beirut
C147,M,31,Saida
C148,M,19,Beirut
C149,M,40,Beirut
C150,M,46,Zahle
C151,M,21,Saida
C152,F,39,Tripoli
C153,M,41,Jounieh
C154,F,25,Tripoli
C155,M,24,Byblos
C156,M,52,Jounieh
C157,F,30,Jounieh
C158,F,26,Batroun
C159,M,59,Tripoli
C160,M,20,Beirut
C161,F,35,Batroun
C162,F,37,Saida
C163,F,40,Beirut
C164,F,53,Batroun
C165,M,44,Batroun
C166,F,48,Beirut
C167,F,25,Jounieh
C168,F,47,Tyre
C169,M,24,Tyre
C170,F,23,Tripoli
C171,M,27,Byblos
C172,F,21,Zahle
C173,F,31,Tripoli
C174,M,20,Tyre
C175,F,39,Saida
C176,M,24,Jounieh
C177,M,23,Saida
C178,F,33,Zahle
C179,F,43,Zahle
C180,M,20,Jounieh
C181,F,60,Tripoli
C182,F,55,Zahle
C183,M,23,Saida
C184,M,25,Batroun
C185,M,39,Saida
C186,F,34,Beirut
C187,F,18,Tyre
C188,M,26,Jounieh
C189,F,43,Tripoli
C190,M,30,Beirut
C191,M,60,Byblos
C192,F,27,Tripoli
C193,M,48,Byblos
C194,F,18,Jounieh
C195,M,26,Saida
C196,F,44,Zahle
C197,M,57,Zahle
C198,F,29,Tyre
C199,M,46,Jounieh
C200,M,40,Byblos
