Order_ID,Date,Hour,Product_ID,Quantity,Customer_ID,Branch,Product_Name,Category,Unit_Price,Cost,Gender,Age,City,Time_ID,Day,Month,Year,Weekday,Total_Sale,Profit,Age_Group
3764,2024-04-12,11,502,1,C150,Hamra,Chicken Sub Sandwich,Sandwiches,7.0,3.0,M,46,Zahle,1433,12,4,2024,Friday,7.0,4.0,36–50
3475,2024-12-14,10,407,1,C138,Hamra,Cheese Rolls,Appetizers,4.5,1.0,F,55,Tyre,4876,14,12,2024,Saturday,4.5,3.5,50+
3374,2024-09-27,9,103,3,C135,Hamra,Blonde Coffee,Coffee,2.2,0.5,F,20,Byblos,3783,27,9,2024,Friday,6.6000000000000005,5.1000000000000005,16–25
2231,2024-04-16,11,603,1,C089,Hamra,Fattoush,Salads,5.5,2.0,F,21,Saida,1489,16,4,2024,Tuesday,5.5,3.5,16–25
353,2024-03-12,20,503,1,C015,Hamra,BBQ Chicken Sandwich,Sandwiches,7.5,3.2,F,52,Zahle,1008,12,3,2024,Tuesday,7.5,4.3,50+
1927,2024-07-07,15,501,1,C077,Hamra,Shish Tawouk Sandwich,Sandwiches,6.5,2.5,M,30,Zahle,2641,7,7,2024,Sunday,6.5,4.0,26–35
2662,2024-01-21,14,703,3,C106,Hamra,Ashta W Banane,Cocktails Specials,7.0,2.5,F,59,Tripoli,288,21,1,2024,Sunday,21.0,13.5,50+
4316,2024-04-12,14,307,2,C174,Hamra,Strawberry Cocktail,Cocktails,6.0,2.0,M,20,Tyre,1436,12,4,2024,Friday,12.0,8.0,16–25
2257,2024-05-01,14,108,1,C090,Hamra,Caramel Latte,Coffee,4.8,1.0,F,20,Beirut,1702,1,5,2024,Wednesday,4.8,3.8,16–25
2189,2024-08-02,18,302,2,C087,Hamra,Lemonade Mint,Cold Drinks,3.5,1.0,F,60,Batroun,3008,2,8,2024,Friday,7.0,5.0,50+
1520,2024-11-26,14,705,1,C061,Hamra,Ice Cream 2 Scoops,Desserts,4.0,1.2,F,34,Zahle,4628,26,11,2024,Tuesday,4.0,2.8,26–35
2711,2024-03-28,13,402,2,C108,Hamra,Zaatar Manoushe,Manakish,3.5,0.5,F,21,Saida,1225,28,3,2024,Thursday,7.0,6.0,16–25
1500,2024-04-09,14,408,2,C061,Hamra,Fries,Appetizers,3.0,0.7,F,34,Zahle,1394,9,4,2024,Tuesday,6.0,4.6,26–35
1263,2024-12-25,17,604,1,C051,Hamra,Tabbouleh,Salads,5.5,2.0,F,48,Tripoli,5037,25,12,2024,Wednesday,5.5,3.5,36–50
4145,2024-05-31,20,302,2,C166,Hamra,Lemonade Mint,Cold Drinks,3.5,1.0,F,48,Beirut,2128,31,5,2024,Friday,7.0,5.0,36–50
273,2024-05-10,14,506,1,C012,Hamra,Steak Sandwich,Sandwiches,9.0,4.0,F,60,Beirut,1828,10,5,2024,Friday,9.0,5.0,50+
1923,2024-05-29,19,202,1,C077,Hamra,Mint Tea,Tea,2.2,0.5,M,30,Zahle,2099,29,5,2024,Wednesday,2.2,1.7000000000000002,26–35
2838,2024-11-04,20,701,1,C112,Hamra,Nutella Crepe,Desserts,5.5,1.8,F,46,Tripoli,4326,4,11,2024,Monday,5.5,3.7,36–50
1636,2024-09-14,14,604,2,C066,Hamra,Tabbouleh,Salads,5.5,2.0,M,22,Zahle,3606,14,9,2024,Saturday,11.0,7.0,16–25
4529,2024-12-09,18,402,1,C182,Hamra,Zaatar Manoushe,Manakish,3.5,0.5,F,55,Zahle,4814,9,12,2024,Monday,3.5,3.0,50+
4180,2024-10-20,16,701,1,C167,Hamra,Nutella Crepe,Desserts,5.5,1.8,F,25,Jounieh,4112,20,10,2024,Sunday,5.5,3.7,16–25
4167,2024-07-10,13,108,2,C167,Hamra,Caramel Latte,Coffee,4.8,1.0,F,25,Jounieh,2681,10,7,2024,Wednesday,9.6,7.6,16–25
2907,2024-10-03,18,308,1,C115,Hamra,Banane Avocat,Cocktails,6.5,2.5,F,36,Byblos,3876,3,10,2024,Thursday,6.5,4.0,36–50
728,2024-06-09,7,506,1,C030,Hamra,Steak Sandwich,Sandwiches,9.0,4.0,M,23,Saida,2241,9,6,2024,Sunday,9.0,5.0,16–25
2657,2024-11-09,10,702,1,C105,Hamra,Lotus Crepe,Desserts,5.8,1.9,F,27,Tripoli,4386,9,11,2024,Saturday,5.8,3.9,26–35
4351,2024-01-22,19,404,1,C176,Hamra,Keshek Manoushe,Manakish,4.0,0.7,M,24,Jounieh,307,22,1,2024,Monday,4.0,3.3,16–25
760,2024-09-09,19,703,1,C031,Hamra,Ashta W Banane,Cocktails Specials,7.0,2.5,M,18,Jounieh,3541,9,9,2024,Monday,7.0,4.5,16–25
3846,2024-08-23,10,305,1,C153,Hamra,Avocado Shake Cocktails,Shakes,6.0,2.2,M,41,Jounieh,3294,23,8,2024,Friday,6.0,3.8,36–50
4903,2024-12-10,11,301,3,C196,Hamra,Lemonade,Cold Drinks,3.0,0.8,F,44,Zahle,4821,10,12,2024,Tuesday,9.0,6.6000000000000005,36–50
4424,2024-02-18,16,302,2,C179,Hamra,Lemonade Mint,Cold Drinks,3.5,1.0,F,43,Zahle,682,18,2,2024,Sunday,7.0,5.0,36–50
297,2024-02-28,12,301,1,C013,Hamra,Lemonade,Cold Drinks,3.0,0.8,M,29,Beirut,818,28,2,2024,Wednesday,3.0,2.2,26–35
4772,2024-06-18,10,304,1,C191,Hamra,Carrot Juice,Cold Drinks,3.5,1.0,M,60,Byblos,2370,18,6,2024,Tuesday,3.5,2.5,50+
3190,2024-07-06,8,108,1,C128,Hamra,Caramel Latte,Coffee,4.8,1.0,M,36,Batroun,2620,6,7,2024,Saturday,4.8,3.8,36–50
4239,2024-09-27,12,502,1,C170,Hamra,Chicken Sub Sandwich,Sandwiches,7.0,3.0,F,23,Tripoli,3786,27,9,2024,Friday,7.0,4.0,16–25
4516,2024-07-08,14,502,1,C182,Hamra,Chicken Sub Sandwich,Sandwiches,7.0,3.0,F,55,Zahle,2654,8,7,2024,Monday,7.0,4.0,50+
2541,2024-06-23,14,706,1,C101,Hamra,Honey Pancakes,Desserts,4.5,1.5,M,44,Byblos,2444,23,6,2024,Sunday,4.5,3.0,36–50
1653,2024-02-20,13,404,2,C067,Hamra,Keshek Manoushe,Manakish,4.0,0.7,M,60,Beirut,707,20,2,2024,Tuesday,8.0,6.6,50+
2013,2024-12-29,12,505,1,C080,Hamra,Turkey Sandwich,Sandwiches,5.5,2.2,F,40,Saida,5088,29,12,2024,Sunday,5.5,3.3,36–50
4562,2024-02-24,8,411,1,C184,Hamra,Mutabbal,Appetizers,4.2,1.2,M,25,Batroun,758,24,2,2024,Saturday,4.2,3.0,16–25
2601,2024-08-31,13,401,2,C103,Hamra,Croissant,Bakery,3.0,0.8,M,21,Byblos,3409,31,8,2024,Saturday,6.0,4.4,16–25
481,2024-11-15,17,406,1,C019,Hamra,Kaak with Cheese,Bakery,3.5,0.8,M,43,Tripoli,4477,15,11,2024,Friday,3.5,2.7,36–50
4319,2024-05-10,18,602,1,C174,Hamra,Greek Salad,Salads,6.5,2.8,M,20,Tyre,1832,10,5,2024,Friday,6.5,3.7,16–25
3606,2024-11-02,20,202,1,C143,Hamra,Mint Tea,Tea,2.2,0.5,M,36,Saida,4298,2,11,2024,Saturday,2.2,1.7000000000000002,36–50
775,2024-05-14,20,302,1,C032,Hamra,Lemonade Mint,Cold Drinks,3.5,1.0,M,49,Beirut,1890,14,5,2024,Tuesday,3.5,2.5,36–50
4377,2024-01-21,11,205,2,C177,Hamra,Mate,Tea,2.5,0.5,M,23,Saida,285,21,1,2024,Sunday,5.0,4.0,16–25
3754,2024-11-24,12,109,1,C149,Hamra,Hot Chocolate,Hot Drinks,3.8,0.9,M,40,Beirut,4598,24,11,2024,Sunday,3.8,2.9,36–50
1615,2024-06-15,16,503,2,C065,Hamra,BBQ Chicken Sandwich,Sandwiches,7.5,3.2,F,42,Saida,2334,15,6,2024,Saturday,15.0,8.6,36–50
4944,2024-09-30,14,506,3,C198,Hamra,Steak Sandwich,Sandwiches,9.0,4.0,F,29,Tyre,3830,30,9,2024,Monday,27.0,15.0,26–35
651,2024-03-29,20,701,3,C027,Hamra,Nutella Crepe,Desserts,5.5,1.8,F,46,Byblos,1246,29,3,2024,Friday,16.5,11.100000000000001,36–50
3804,2024-11-11,14,202,3,C151,Hamra,Mint Tea,Tea,2.2,0.5,M,21,Saida,4418,11,11,2024,Monday,6.6000000000000005,5.1000000000000005,16–25
1139,2024-01-14,9,407,1,C047,Hamra,Cheese Rolls,Appetizers,4.5,1.0,M,24,Jounieh,185,14,1,2024,Sunday,4.5,3.5,16–25
280,2024-08-29,18,310,1,C012,Hamra,Strawberry Milkshake,Shakes,5.5,1.8,F,60,Beirut,3386,29,8,2024,Thursday,5.5,3.7,50+
2140,2024-09-21,18,503,1,C085,Hamra,BBQ Chicken Sandwich,Sandwiches,7.5,3.2,F,40,Saida,3708,21,9,2024,Saturday,7.5,4.3,36–50
1642,2024-12-11,20,303,1,C066,Hamra,Fresh Orange Juice,Cold Drinks,3.5,1.0,M,22,Zahle,4844,11,12,2024,Wednesday,3.5,2.5,16–25
3297,2024-02-22,13,205,2,C133,Hamra,Mate,Tea,2.5,0.5,M,41,Beirut,735,22,2,2024,Thursday,5.0,4.0,36–50
3440,2024-12-05,7,407,1,C137,Hamra,Cheese Rolls,Appetizers,4.5,1.0,F,30,Saida,4747,5,12,2024,Thursday,4.5,3.5,26–35
3724,2024-04-01,7,106,3,C148,Hamra,Cappuccino,Coffee,3.5,0.7,M,19,Beirut,1275,1,4,2024,Monday,10.5,8.399999999999999,16–25
2779,2024-09-20,13,602,2,C110,Hamra,Greek Salad,Salads,6.5,2.8,M,55,Batroun,3689,20,9,2024,Friday,13.0,7.4,50+
2047,2024-02-04,16,601,3,C082,Hamra,Chicken Caesar Salad,Salads,7.5,3.2,M,37,Tripoli,486,4,2,2024,Sunday,22.5,12.899999999999999,36–50
3127,2024-07-24,15,705,2,C125,Hamra,Ice Cream 2 Scoops,Desserts,4.0,1.2,F,37,Batroun,2879,24,7,2024,Wednesday,8.0,5.6,36–50
1558,2024-03-21,13,410,1,C063,Hamra,Hummus,Appetizers,4.0,1.2,F,32,Byblos,1127,21,3,2024,Thursday,4.0,2.8,26–35
1790,2024-02-19,16,409,1,C072,Hamra,Pita Chips,Appetizers,2.5,0.6,F,59,Jounieh,696,19,2,2024,Monday,2.5,1.9,50+
2473,2024-12-25,11,502,1,C098,Hamra,Chicken Sub Sandwich,Sandwiches,7.0,3.0,M,33,Tripoli,5031,25,12,2024,Wednesday,7.0,4.0,26–35
1811,2024-01-02,14,105,1,C073,Hamra,Café Latte,Coffee,4.0,0.8,F,54,Saida,22,2,1,2024,Tuesday,4.0,3.2,50+
1760,2024-02-23,8,303,1,C071,Hamra,Fresh Orange Juice,Cold Drinks,3.5,1.0,F,29,Byblos,744,23,2,2024,Friday,3.5,2.5,26–35
724,2024-04-15,15,301,2,C030,Hamra,Lemonade,Cold Drinks,3.0,0.8,M,23,Saida,1479,15,4,2024,Monday,6.0,4.4,16–25
3133,2024-09-16,12,108,2,C125,Hamra,Caramel Latte,Coffee,4.8,1.0,F,37,Batroun,3632,16,9,2024,Monday,9.6,7.6,36–50
391,2024-11-05,19,310,1,C016,Hamra,Strawberry Milkshake,Shakes,5.5,1.8,M,50,Zahle,4339,5,11,2024,Tuesday,5.5,3.7,36–50
3310,2024-07-09,15,407,1,C133,Hamra,Cheese Rolls,Appetizers,4.5,1.0,M,41,Beirut,2669,9,7,2024,Tuesday,4.5,3.5,36–50
3937,2024-08-05,8,401,1,C157,Hamra,Croissant,Bakery,3.0,0.8,F,30,Jounieh,3040,5,8,2024,Monday,3.0,2.2,26–35
1144,2024-02-13,9,705,1,C047,Hamra,Ice Cream 2 Scoops,Desserts,4.0,1.2,M,24,Jounieh,605,13,2,2024,Tuesday,4.0,2.8,16–25
2538,2024-06-10,18,307,1,C101,Hamra,Strawberry Cocktail,Cocktails,6.0,2.0,M,44,Byblos,2266,10,6,2024,Monday,6.0,4.0,36–50
2698,2024-07-20,14,406,1,C107,Hamra,Kaak with Cheese,Bakery,3.5,0.8,M,18,Tyre,2822,20,7,2024,Saturday,3.5,2.7,16–25
3156,2024-09-26,7,601,1,C126,Hamra,Chicken Caesar Salad,Salads,7.5,3.2,M,59,Jounieh,3767,26,9,2024,Thursday,7.5,4.3,50+
552,2024-12-16,16,110,1,C022,Hamra,Sahlab,Hot Drinks,4.0,1.0,F,32,Tyre,4910,16,12,2024,Monday,4.0,3.0,26–35
4609,2024-10-30,13,202,1,C185,Hamra,Mint Tea,Tea,2.2,0.5,M,39,Saida,4249,30,10,2024,Wednesday,2.2,1.7000000000000002,36–50
2079,2024-09-27,13,706,1,C083,Hamra,Honey Pancakes,Desserts,4.5,1.5,M,47,Byblos,3787,27,9,2024,Friday,4.5,3.0,36–50
