Order_ID,Date,Hour,Product_ID,Quantity,Customer_ID,Branch
3764,2024-04-12,11,502,1,C150,Hamra
3475,2024-12-14,10,407,1,C138,Hamra
3374,2024-09-27,9,103,3,C135,Hamra
2231,2024-04-16,11,603,1,C089,Hamra
353,2024-03-12,20,503,1,C015,Hamra
1927,2024-07-07,15,501,1,C077,Hamra
2662,2024-01-21,14,703,3,C106,Hamra
4316,2024-04-12,14,307,2,C174,Hamra
2257,2024-05-01,14,108,1,C090,Hamra
2189,2024-08-02,18,302,2,C087,Hamra
1520,2024-11-26,14,705,1,C061,Hamra
2711,2024-03-28,13,402,2,C108,Hamra
1500,2024-04-09,14,408,2,C061,Hamra
1263,2024-12-25,17,604,1,C051,Hamra
4145,2024-05-31,20,302,2,C166,Hamra
273,2024-05-10,14,506,1,C012,Hamra
1923,2024-05-29,19,202,1,C077,Hamra
2838,2024-11-04,20,701,1,C112,Hamra
1636,2024-09-14,14,604,2,C066,Hamra
4529,2024-12-09,18,402,1,C182,Hamra
4180,2024-10-20,16,701,1,C167,Hamra
4167,2024-07-10,13,108,2,C167,Hamra
2907,2024-10-03,18,308,1,C115,Hamra
728,2024-06-09,7,506,1,C030,Hamra
2657,2024-11-09,10,702,1,C105,Hamra
4351,2024-01-22,19,404,1,C176,Hamra
760,2024-09-09,19,703,1,C031,Hamra
3846,2024-08-23,10,305,1,C153,Hamra
4903,2024-12-10,11,301,3,C196,Hamra
4424,2024-02-18,16,302,2,C179,Hamra
297,2024-02-28,12,301,1,C013,Hamra
4772,2024-06-18,10,304,1,C191,Hamra
3190,2024-07-06,8,108,1,C128,Hamra
4239,2024-09-27,12,502,1,C170,Hamra
4516,2024-07-08,14,502,1,C182,Hamra
2541,2024-06-23,14,706,1,C101,Hamra
1653,2024-02-20,13,404,2,C067,Hamra
2013,2024-12-29,12,505,1,C080,Hamra
4562,2024-02-24,8,411,1,C184,Hamra
2601,2024-08-31,13,401,2,C103,Hamra
481,2024-11-15,17,406,1,C019,Hamra
4319,2024-05-10,18,602,1,C174,Hamra
3606,2024-11-02,20,202,1,C143,Hamra
775,2024-05-14,20,302,1,C032,Hamra
4377,2024-01-21,11,205,2,C177,Hamra
3754,2024-11-24,12,109,1,C149,Hamra
1615,2024-06-15,16,503,2,C065,Hamra
4944,2024-09-30,14,506,3,C198,Hamra
651,2024-03-29,20,701,3,C027,Hamra
3804,2024-11-11,14,202,3,C151,Hamra
1139,2024-01-14,9,407,1,C047,Hamra
280,2024-08-29,18,310,1,C012,Hamra
2140,2024-09-21,18,503,1,C085,Hamra
1642,2024-12-11,20,303,1,C066,Hamra
3297,2024-02-22,13,205,2,C133,Hamra
3440,2024-12-05,7,407,1,C137,Hamra
3724,2024-04-01,7,106,3,C148,Hamra
2779,2024-09-20,13,602,2,C110,Hamra
2047,2024-02-04,16,601,3,C082,Hamra
3127,2024-07-24,15,705,2,C125,Hamra
1558,2024-03-21,13,410,1,C063,Hamra
1790,2024-02-19,16,409,1,C072,Hamra
2473,2024-12-25,11,502,1,C098,Hamra
1811,2024-01-02,14,105,1,C073,Hamra
1760,2024-02-23,8,303,1,C071,Hamra
724,2024-04-15,15,301,2,C030,Hamra
3133,2024-09-16,12,108,2,C125,Hamra
391,2024-11-05,19,310,1,C016,Hamra
3310,2024-07-09,15,407,1,C133,Hamra
3937,2024-08-05,8,401,1,C157,Hamra
1144,2024-02-13,9,705,1,C047,Hamra
2538,2024-06-10,18,307,1,C101,Hamra
2698,2024-07-20,14,406,1,C107,Hamra
3156,2024-09-26,7,601,1,C126,Hamra
552,2024-12-16,16,110,1,C022,Hamra
4609,2024-10-30,13,202,1,C185,Hamra
2079,2024-09-27,13,706,1,C083,Hamra
4082,2024-08-02,19,403,1,C163,Hamra
1485,2024-09-08,7,106,1,C060,Hamra
4936,2024-07-08,15,305,1,C198,Hamra
4699,2024-10-22,14,105,3,C188,Hamra
1435,2024-07-31,10,308,1,C058,Hamra
71,2024-07-26,16,109,1,C003,Hamra
4059,2024-08-24,17,404,2,C162,Hamra
1101,2024-12-03,11,301,1,C045,Hamra
1217,2024-02-22,8,604,3,C050,Hamra
46,2024-10-06,19,307,1,C002,Hamra
359,2024-08-04,15,108,1,C015,Hamra
4127,2024-09-08,18,305,1,C165,Hamra
3597,2024-07-06,18,704,1,C143,Hamra
4685,2024-02-10,12,204,1,C188,Hamra
2404,2024-06-05,9,503,1,C096,Hamra
2125,2024-01-15,18,501,1,C085,Hamra
4805,2024-10-27,13,703,1,C192,Hamra
2791,2024-03-05,15,409,1,C111,Hamra
4485,2024-12-10,9,201,1,C180,Hamra
576,2024-11-22,8,504,1,C023,Hamra
2478,2024-01-09,13,408,1,C099,Hamra
910,2024-12-09,13,406,1,C037,Hamra
2690,2024-05-08,10,602,2,C107,Hamra
987,2024-05-15,17,409,1,C041,Hamra
1399,2024-03-03,15,703,1,C057,Hamra
2428,2024-05-18,20,107,1,C097,Hamra
609,2024-03-21,14,702,1,C025,Hamra
2769,2024-06-11,19,308,3,C110,Hamra
905,2024-10-15,19,604,1,C037,Hamra
973,2024-09-17,7,107,1,C040,Hamra
2138,2024-08-18,7,310,1,C085,Hamra
1109,2024-02-10,11,103,2,C046,Hamra
4682,2024-01-28,12,502,1,C188,Hamra
2563,2024-05-14,9,305,3,C102,Hamra
2461,2024-07-19,19,409,3,C098,Hamra
483,2024-11-23,15,702,1,C019,Hamra
2282,2024-09-24,18,602,3,C091,Hamra
3420,2024-02-02,16,602,1,C137,Hamra
1708,2024-02-17,20,405,2,C069,Hamra
103,2024-03-02,12,302,1,C005,Hamra
3871,2024-08-03,10,110,1,C154,Hamra
3717,2024-10-19,18,410,1,C147,Hamra
3953,2024-04-08,13,305,2,C158,Hamra
1182,2024-06-20,14,303,1,C048,Hamra
2842,2024-12-25,15,603,1,C112,Hamra
3635,2024-08-01,19,602,1,C144,Hamra
4953,2024-02-04,17,402,1,C199,Hamra
444,2024-08-14,12,702,1,C018,Hamra
4565,2024-04-10,12,411,1,C184,Hamra
3747,2024-05-10,14,308,1,C149,Hamra
761,2024-09-13,18,407,1,C031,Hamra
3196,2024-01-05,11,110,1,C129,Hamra
3258,2024-08-05,20,201,1,C131,Hamra
619,2024-09-11,9,502,1,C025,Hamra
190,2024-12-24,18,106,3,C008,Hamra
4831,2024-10-09,9,505,1,C193,Hamra
1536,2024-07-25,19,605,3,C062,Hamra
3356,2024-01-15,12,409,2,C135,Hamra
165,2024-12-11,8,411,1,C007,Hamra
3386,2024-02-11,12,501,1,C136,Hamra
475,2024-06-27,19,302,2,C019,Hamra
3656,2024-03-03,12,504,1,C145,Hamra
3506,2024-12-17,14,504,1,C139,Hamra
2806,2024-08-18,13,202,1,C111,Hamra
4391,2024-08-28,14,306,1,C177,Hamra
247,2024-02-21,20,504,2,C011,Hamra
985,2024-04-05,15,304,1,C041,Hamra
4751,2024-08-09,12,103,1,C190,Hamra
2881,2024-08-18,20,303,1,C114,Hamra
4474,2024-08-24,9,706,1,C180,Hamra
4854,2024-05-22,16,704,1,C194,Hamra
4892,2024-06-19,9,304,1,C196,Hamra
2295,2024-01-29,17,605,2,C092,Hamra
1865,2024-02-05,18,106,1,C075,Hamra
1648,2024-01-13,7,301,2,C067,Hamra
4197,2024-06-08,17,108,1,C168,Hamra
121,2024-11-22,19,701,1,C005,Hamra
2926,2024-07-05,11,303,1,C116,Hamra
3780,2024-08-30,20,705,1,C150,Hamra
2963,2024-03-26,10,701,1,C118,Hamra
4129,2024-10-10,15,601,1,C165,Hamra
248,2024-03-06,15,503,2,C011,Hamra
1070,2024-06-18,20,702,2,C044,Hamra
4489,2024-02-14,11,702,1,C181,Hamra
1917,2024-03-02,16,202,1,C077,Hamra
2967,2024-05-13,10,603,1,C118,Hamra
2931,2024-10-10,13,110,1,C116,Hamra
4712,2024-01-28,12,107,1,C189,Hamra
1657,2024-04-17,10,604,1,C067,Hamra
293,2024-02-13,19,101,3,C013,Hamra
2309,2024-12-05,19,702,2,C092,Hamra
260,2024-10-12,16,411,1,C011,Hamra
3503,2024-11-26,8,306,1,C139,Hamra
2133,2024-05-07,7,501,1,C085,Hamra
2145,2024-12-13,10,705,2,C085,Hamra
3371,2024-08-18,10,309,1,C135,Hamra
414,2024-07-08,19,310,1,C017,Hamra
1185,2024-08-12,7,107,2,C048,Hamra
3580,2024-10-09,12,506,1,C142,Hamra
4768,2024-04-30,10,302,1,C191,Hamra
4800,2024-04-25,7,404,1,C192,Hamra
2438,2024-08-20,7,405,1,C097,Hamra
1881,2024-09-15,19,107,1,C075,Hamra
4836,2024-12-24,7,408,1,C193,Hamra
4056,2024-07-16,14,107,1,C162,Hamra
3426,2024-05-16,16,309,1,C137,Hamra
1939,2024-11-13,14,201,2,C077,Hamra
3188,2024-06-13,8,109,1,C128,Hamra
898,2024-08-12,17,202,1,C037,Hamra
738,2024-11-02,19,410,1,C030,Hamra
4219,2024-08-21,13,104,2,C169,Hamra
4297,2024-06-20,20,411,2,C173,Hamra
1151,2024-05-31,14,403,1,C047,Hamra
3380,2024-11-10,14,203,1,C135,Hamra
3570,2024-06-08,17,308,2,C142,Hamra
1171,2024-04-05,16,304,1,C048,Hamra
3341,2024-08-20,17,506,1,C134,Hamra
822,2024-06-28,19,501,3,C034,Hamra
2532,2024-04-22,13,503,1,C101,Hamra
1136,2024-11-13,11,309,3,C046,Hamra
4656,2024-02-21,7,301,2,C187,Hamra
1745,2024-09-24,18,408,1,C070,Hamra
3411,2024-10-21,15,202,3,C136,Hamra
586,2024-04-22,19,409,2,C024,Hamra
1656,2024-04-10,13,107,1,C067,Hamra
87,2024-04-22,8,201,1,C004,Hamra
3,2024-03-21,12,406,1,C001,Hamra
823,2024-07-05,8,404,1,C034,Hamra
2741,2024-04-22,7,203,2,C109,Hamra
191,2024-01-02,20,406,1,C009,Hamra
1561,2024-05-09,13,102,1,C063,Hamra
227,2024-08-07,19,503,1,C010,Hamra
3445,2024-02-23,8,205,2,C138,Hamra
4421,2024-12-08,19,201,1,C178,Hamra
1074,2024-08-11,20,409,1,C044,Hamra
2972,2024-08-12,20,503,1,C118,Hamra
4360,2024-05-05,8,104,1,C176,Hamra
