Time_ID,Date,Day,Month,Year,Weekday,Hour
1,2024-01-01,1,1,2024,Monday,7
2,2024-01-01,1,1,2024,Monday,8
3,2024-01-01,1,1,2024,Monday,9
4,2024-01-01,1,1,2024,Monday,10
5,2024-01-01,1,1,2024,Monday,11
6,2024-01-01,1,1,2024,Monday,12
7,2024-01-01,1,1,2024,Monday,13
8,2024-01-01,1,1,2024,Monday,14
9,2024-01-01,1,1,2024,Monday,15
10,2024-01-01,1,1,2024,Monday,16
11,2024-01-01,1,1,2024,Monday,17
12,2024-01-01,1,1,2024,Monday,18
13,2024-01-01,1,1,2024,Monday,19
14,2024-01-01,1,1,2024,Monday,20
15,2024-01-02,2,1,2024,Tuesday,7
16,2024-01-02,2,1,2024,Tuesday,8
17,2024-01-02,2,1,2024,Tuesday,9
18,2024-01-02,2,1,2024,Tuesday,10
19,2024-01-02,2,1,2024,Tuesday,11
20,2024-01-02,2,1,2024,Tuesday,12
21,2024-01-02,2,1,2024,Tuesday,13
22,2024-01-02,2,1,2024,Tuesday,14
23,2024-01-02,2,1,2024,Tuesday,15
24,2024-01-02,2,1,2024,Tuesday,16
25,2024-01-02,2,1,2024,Tuesday,17
26,2024-01-02,2,1,2024,Tuesday,18
27,2024-01-02,2,1,2024,Tuesday,19
28,2024-01-02,2,1,2024,Tuesday,20
29,2024-01-03,3,1,2024,Wednesday,7
30,2024-01-03,3,1,2024,Wednesday,8
31,2024-01-03,3,1,2024,Wednesday,9
32,2024-01-03,3,1,2024,Wednesday,10
33,2024-01-03,3,1,2024,Wednesday,11
34,2024-01-03,3,1,2024,Wednesday,12
35,2024-01-03,3,1,2024,Wednesday,13
36,2024-01-03,3,1,2024,Wednesday,14
37,2024-01-03,3,1,2024,Wednesday,15
38,2024-01-03,3,1,2024,Wednesday,16
39,2024-01-03,3,1,2024,Wednesday,17
40,2024-01-03,3,1,2024,Wednesday,18
41,2024-01-03,3,1,2024,Wednesday,19
42,2024-01-03,3,1,2024,Wednesday,20
43,2024-01-04,4,1,2024,Thursday,7
44,2024-01-04,4,1,2024,Thursday,8
45,2024-01-04,4,1,2024,Thursday,9
46,2024-01-04,4,1,2024,Thursday,10
47,2024-01-04,4,1,2024,Thursday,11
48,2024-01-04,4,1,2024,Thursday,12
49,2024-01-04,4,1,2024,Thursday,13
50,2024-01-04,4,1,2024,Thursday,14
51,2024-01-04,4,1,2024,Thursday,15
52,2024-01-04,4,1,2024,Thursday,16
53,2024-01-04,4,1,2024,Thursday,17
54,2024-01-04,4,1,2024,Thursday,18
55,2024-01-04,4,1,2024,Thursday,19
56,2024-01-04,4,1,2024,Thursday,20
57,2024-01-05,5,1,2024,Friday,7
58,2024-01-05,5,1,2024,Friday,8
59,2024-01-05,5,1,2024,Friday,9
60,2024-01-05,5,1,2024,Friday,10
61,2024-01-05,5,1,2024,Friday,11
62,2024-01-05,5,1,2024,Friday,12
63,2024-01-05,5,1,2024,Friday,13
64,2024-01-05,5,1,2024,Friday,14
65,2024-01-05,5,1,2024,Friday,15
66,2024-01-05,5,1,2024,Friday,16
67,2024-01-05,5,1,2024,Friday,17
68,2024-01-05,5,1,2024,Friday,18
69,2024-01-05,5,1,2024,Friday,19
70,2024-01-05,5,1,2024,Friday,20
71,2024-01-06,6,1,2024,Saturday,7
72,2024-01-06,6,1,2024,Saturday,8
73,2024-01-06,6,1,2024,Saturday,9
74,2024-01-06,6,1,2024,Saturday,10
75,2024-01-06,6,1,2024,Saturday,11
76,2024-01-06,6,1,2024,Saturday,12
77,2024-01-06,6,1,2024,Saturday,13
78,2024-01-06,6,1,2024,Saturday,14
79,2024-01-06,6,1,2024,Saturday,15
80,2024-01-06,6,1,2024,Saturday,16
81,2024-01-06,6,1,2024,Saturday,17
82,2024-01-06,6,1,2024,Saturday,18
83,2024-01-06,6,1,2024,Saturday,19
84,2024-01-06,6,1,2024,Saturday,20
85,2024-01-07,7,1,2024,Sunday,7
86,2024-01-07,7,1,2024,Sunday,8
87,2024-01-07,7,1,2024,Sunday,9
88,2024-01-07,7,1,2024,Sunday,10
89,2024-01-07,7,1,2024,Sunday,11
90,2024-01-07,7,1,2024,Sunday,12
91,2024-01-07,7,1,2024,Sunday,13
92,2024-01-07,7,1,2024,Sunday,14
93,2024-01-07,7,1,2024,Sunday,15
94,2024-01-07,7,1,2024,Sunday,16
95,2024-01-07,7,1,2024,Sunday,17
96,2024-01-07,7,1,2024,Sunday,18
97,2024-01-07,7,1,2024,Sunday,19
98,2024-01-07,7,1,2024,Sunday,20
99,2024-01-08,8,1,2024,Monday,7
100,2024-01-08,8,1,2024,Monday,8
101,2024-01-08,8,1,2024,Monday,9
102,2024-01-08,8,1,2024,Monday,10
103,2024-01-08,8,1,2024,Monday,11
104,2024-01-08,8,1,2024,Monday,12
105,2024-01-08,8,1,2024,Monday,13
106,2024-01-08,8,1,2024,Monday,14
107,2024-01-08,8,1,2024,Monday,15
108,2024-01-08,8,1,2024,Monday,16
109,2024-01-08,8,1,2024,Monday,17
110,2024-01-08,8,1,2024,Monday,18
111,2024-01-08,8,1,2024,Monday,19
112,2024-01-08,8,1,2024,Monday,20
113,2024-01-09,9,1,2024,Tuesday,7
114,2024-01-09,9,1,2024,Tuesday,8
115,2024-01-09,9,1,2024,Tuesday,9
116,2024-01-09,9,1,2024,Tuesday,10
117,2024-01-09,9,1,2024,Tuesday,11
118,2024-01-09,9,1,2024,Tuesday,12
119,2024-01-09,9,1,2024,Tuesday,13
120,2024-01-09,9,1,2024,Tuesday,14
121,2024-01-09,9,1,2024,Tuesday,15
